canal;campanha;grupo de anúncio;data;impressões;cliques;leads;valor gasto
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45452;866;5;;17,48"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45452;1301;10;5;36,17"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45452;2287;9;3;31,82"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45452;727;4;;10,75"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45452;714;3;;11,09"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45451;903;10;3;23,55"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45451;1290;6;1;24,81"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45451;1604;6;1;35,38"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45451;677;2;;22,54"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45451;2271;6;1;35,49"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45451;602;1;1;11,16"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45451;855;6;;15,26"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45450;898;8;2;23,55"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45450;1235;9;2;25,71"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45450;955;6;;27,95"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45450;1049;11;;32,43"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45450;2064;4;2;37,79"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45450;611;2;2;12,27"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45450;591;3;;12,94"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45449;1004;7;1;24,56"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45449;1035;8;;21,13"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45449;818;12;2;16,42"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45449;339;1;;7,74"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45449;1390;8;2;12,3"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45449;450;2;;5,01"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45449;462;2;;4,68"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45448;1139;11;1;29,86"
"facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;45448;792;6;;11,79"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45448;522;3;;10,29"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45448;476;6;2;9,63"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45448;1654;16;2;32,01"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45448;3583;15;4;30,14"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45448;922;8;1;9,66"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45448;921;6;2;9,15"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45447;1289;11;1;29,92"
"facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;45447;1593;10;;25,2"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45447;369;2;1;5,55"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45447;2146;20;1;38,81"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45447;3834;14;3;30,32"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45447;1198;7;;9,41"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45447;1094;5;;9,91"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45446;1296;8;3;31,64"
"facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;45446;2049;15;1;25,81"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45446;1405;11;1;17,51"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45446;1576;11;5;29,54"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45446;3822;13;3;32,28"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45446;994;10;1;9,03"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45446;976;5;2;9,78"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45445;1074;6;2;33,9"
"facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;45445;1922;16;;27,74"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45445;1227;14;;15,29"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45445;2402;14;1;33,65"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45445;3941;35;13;33,85"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45445;1106;10;1;10,22"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45445;953;5;2;9,35"
"facebook;atr_leads | Genérica  + Geral Promo [CBO];LAL 1% COMPRADORES;45444;934;10;5;27,86"
"facebook;atr_leads | avalie o seu usado [CBO];LAL 1% COMPRADORES — AJUSTADO;45444;1725;15;1;23,39"
"facebook;atr_leads | promo - creta [CBO] 2;Int. Auto + Pais +30 AB;45444;1407;10;;16,94"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45444;1610;12;2;26,45"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45444;2621;25;3;27,39"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Volvo + Interesses Hyundai;45444;878;5;;10,62"
"facebook;atr_leads | promo - hb20 (CBO) 2;RMKT;45444;867;8;2;9,47"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45504;5439;61;8;115,11"
"facebook;atr_leads | Promo HR [CBO];VUC;45504;1005;4;1;30,32"
"facebook;atr_leads | avalie o seu usado [CBO] 2;LAL 1% COMPRADORES — AJUSTADO;45504;4444;27;6;74,7"
"facebook;atr_leads | promo - creta [CBO] 2;RMKT;45504;1130;6;2;48,08"
"facebook;atr_leads | promo - hb20 (CBO) 2;LAL Compradores 1%;45504;2368;17;5;46,21"
"facebook;atr_leads | Genérica [CBO];LAL 1% COMPRADORES;45503;3211;29;2;76,42"
"facebook;atr_leads | Promo HR [CBO];VUC;45503;1892;8;2;59,27"
